LZ Houston,LZ North,LZ South,LZ West
2.49,2.89,-4.45,3.92
1.76,2.21,-4.92,5.55
2.22,2.69,-4.07,4.59
2.96,3.11,-4.17,2.92
1.64,1.07,-3.92,-0.94
4.63,4.67,-1.5,0.3
18.21,18.49,13.56,8.18
18.15,18.26,14.1,6.27
14.3,14.3,12.67,1.07
12.53,12.38,11.09,-0.29
12.13,11.3,10.99,-1.39
12.73,9.83,12.2,-2.37
15.5,10.3,15.65,-3.04
15.42,9.87,16.24,-4.13
15.59,9.67,17.27,-4.62
15.02,9.51,17.21,-4.81
15.45,9.56,18.7,-2.9
26.95,20,32.82,10.32
30.82,26.79,34.63,24.83
22.66,19.81,25.25,21.17
16.91,14.83,18.66,16.11
14.75,13.93,15.45,17.36
14.71,14.15,15.07,17.94
11.46,11.16,11.23,15.29
